"model","prob","SE","df","asymp.LCL","asymp.UCL","null","z.ratio","p.value"
"claude-opus-4-5-20251101",0.99731358735048,0.00114741350101969,Inf,0.993802970657966,0.998837765753092,0.5,13.8157889371805,2.04699222588833e-43
"deepseek-v3.2",0.99478189178573,0.0021027226362721,Inf,0.988529567782203,0.997634343452397,0.5,12.9613551098915,2.02635858103935e-38
"gemini-3-pro-preview",0.993453526223291,0.00259355187849547,Inf,0.985806198811289,0.996993198375061,0.5,12.5938728475544,2.28196384205179e-36
"gpt-5.1-2025-11-13",0.995083848235156,0.00199027901649393,Inf,0.989152344136365,0.99777928422704,0.5,13.0523925843462,6.15825659790214e-39
"grok-4-0709",0.994468130988582,0.00221920604477846,Inf,0.98788395599847,0.997483408031012,0.5,12.8698427714957,6.65374576541027e-38
"kimi-k2-thinking",0.991920864323209,0.0031528505091892,Inf,0.982694271686379,0.996247062351421,0.5,12.2268894547703,2.23327828690012e-34
