"model","mean_accuracy","ci_lower","ci_upper","n_quizzes","accuracy_label"
"claude-opus-4-5-20251101",0.916666666666667,0.881197037075459,0.952136296257874,30,"91.7"
"gpt-5.1-2025-11-13",0.886666666666667,0.861221077712321,0.912112255621013,30,"88.7"
"deepseek-v3.2",0.883333333333333,0.84400681659037,0.922659850076297,30,"88.3"
"grok-4-0709",0.88,0.842788369831111,0.917211630168889,30,"88.0"
"gemini-3-pro-preview",0.87,0.831831616568481,0.908168383431519,30,"87.0"
"kimi-k2-thinking",0.856666666666667,0.823148455418171,0.890184877915163,30,"85.7"
